name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Lotta bit sloppy on them GR “mountains”,2021-01-26T14:29:52Z,Run,9283.0,2530,00:43:34,150.0,,,3.6689999999999996,14:29:52,2021-01-26,2021-01-25,5.7694,492.13,00:42:10,07:18,8.21
Errands at USPS and a hard mile on the track,2021-01-25T13:58:44Z,Run,8646.0,2270,00:48:53,30.0,,,3.8089999999999997,13:58:44,2021-01-25,2021-01-25,5.3735,98.43,00:37:50,07:02,8.52
Little slippy out there,2021-01-24T12:26:14Z,Run,13724.0,3638,01:05:33,114.0,,,3.772,12:26:14,2021-01-24,2021-01-18,8.5295,374.02,01:00:38,07:06,8.44
Errands: maple syrup and lye,2021-01-23T10:36:44Z,Run,3909.0,1184,00:41:56,30.0,,,3.302,10:36:44,2021-01-23,2021-01-18,2.4295,98.43,00:19:44,08:07,7.39
Intervals-ish,2021-01-21T11:03:40Z,Run,9673.0,2556,00:42:41,69.0,,,3.784,11:03:40,2021-01-21,2021-01-18,6.0118,226.38,00:42:36,07:05,8.46
Industrial,2021-01-20T11:51:48Z,Run,9971.0,2698,00:45:22,90.0,,,3.696,11:51:48,2021-01-20,2021-01-18,6.197,295.28,00:44:58,07:15,8.27
Lunch Run,2021-01-19T12:15:34Z,Run,9125.0,2630,00:45:18,145.0,,,3.47,12:15:34,2021-01-19,2021-01-18,5.6712,475.72,00:43:50,07:43,7.76
Checking out some other neighborhoods ,2021-01-18T12:42:21Z,Run,8910.0,2598,00:43:46,45.0,,,3.43,12:42:21,2021-01-18,2021-01-18,5.5376,147.64,00:43:18,07:49,7.67
Afternoon Run,2021-01-17T15:20:54Z,Run,9838.0,2805,00:49:31,57.0,,,3.5069999999999997,15:20:54,2021-01-17,2021-01-11,6.1144,187.01,00:46:45,07:38,7.84
Afternoon Run,2021-01-08T15:03:25Z,Run,6756.0,1951,00:34:12,51.0,,,3.463,15:03:25,2021-01-08,2021-01-04,4.1989,167.32,00:32:31,07:44,7.75
Afternoon Run,2021-01-07T15:07:06Z,Run,8597.0,2438,00:42:34,39.0,,,3.5260000000000002,15:07:06,2021-01-07,2021-01-04,5.3431,127.95,00:40:38,07:36,7.89
Afternoon Run,2021-01-05T14:23:15Z,Run,8100.0,2333,00:42:22,36.0,,,3.472,14:23:15,2021-01-05,2021-01-04,5.0342,118.11,00:38:53,07:43,7.77
Push n pull,2021-01-03T14:24:37Z,Run,4076.0,1612,00:39:11,0.0,,,2.529,14:24:37,2021-01-03,2020-12-28,2.5333,0.0,00:26:52,10:36,5.66
Slog in the slush with a stroller,2021-01-01T12:16:01Z,Run,6077.0,1791,00:29:59,27.0,,,3.3930000000000002,12:16:01,2021-01-01,2020-12-28,3.7769,88.58,00:29:51,07:54,7.59
Morning Run,2020-12-29T10:02:10Z,Run,5185.0,1790,00:29:50,36.0,,,2.897,10:02:10,2020-12-29,2020-12-28,3.2225,118.11,00:29:50,09:15,6.48
Lunch Run,2020-12-26T11:24:20Z,Run,8175.0,2803,00:49:00,27.0,,,2.917,11:24:20,2020-12-26,2020-12-21,5.0808,88.58,00:46:43,09:11,6.53
Run with uncle Bert,2020-12-24T12:45:20Z,Run,6963.0,2050,00:41:50,21.0,,,3.397,12:45:20,2020-12-24,2020-12-21,4.3275,68.9,00:34:10,07:53,7.6
5:45 with a two kid stroller,2020-12-21T15:13:35Z,Run,8005.0,2276,00:39:26,39.0,,,3.517,15:13:35,2020-12-21,2020-12-21,4.9751,127.95,00:37:56,07:37,7.87
Step down and burn,2020-12-20T13:24:04Z,Run,11918.0,3289,00:55:05,75.0,,,3.6239999999999997,13:24:04,2020-12-20,2020-12-14,7.4071,246.06,00:54:49,07:24,8.11
Afternoon Run,2020-12-18T13:25:02Z,Run,6646.0,1842,00:32:15,57.0,,,3.608,13:25:02,2020-12-18,2020-12-14,4.1305,187.01,00:30:42,07:25,8.07
Cold and wet. But Riv had fun. ,2020-12-12T12:35:19Z,Run,12671.0,3799,01:03:39,66.0,,,3.335,12:35:19,2020-12-12,2020-12-07,7.8751,216.54,01:03:19,08:02,7.46
Lunch Run,2020-12-11T11:46:55Z,Run,12403.0,3587,01:03:09,60.0,159.1,178.0,3.458,11:46:55,2020-12-11,2020-12-07,7.7085,196.85,00:59:47,07:45,7.74
Tunnabora,2020-12-07T08:56:37Z,Ride,26395.2,3660,01:01:00,0.0,,,7.212000000000001,08:56:37,2020-12-07,2020-12-07,16.4047,0.0,01:01:00,,16.13
Felt real good,2020-12-05T14:12:59Z,Run,12515.0,3348,00:57:48,63.0,,,3.738,14:12:59,2020-12-05,2020-11-30,7.7781,206.69,00:55:48,07:10,8.36
Evening Run,2020-12-03T19:36:09Z,Run,6333.0,1839,00:34:32,57.0,,,3.444,19:36:09,2020-12-03,2020-11-30,3.936,187.01,00:30:39,07:47,7.7
Bear Creek -4,2020-12-02T16:30:23Z,Ride,21503.9,2760,00:46:00,0.0,,,7.791,16:30:23,2020-12-02,2020-11-30,13.3648,0.0,00:46:00,,17.43
Echo -2,2020-11-30T16:05:13Z,Ride,27288.6,3600,01:00:00,0.0,,,7.58,16:05:13,2020-11-30,2020-11-30,16.96,0.0,01:00:00,,16.96
Nice run with the kiddos ,2020-11-29T11:30:21Z,Run,12284.0,3453,01:12:43,85.0,161.5,198.0,3.557,11:30:21,2020-11-29,2020-11-23,7.6346,278.87,00:57:33,07:32,7.96
Ericsson,2020-11-28T16:09:14Z,Ride,25149.0,3660,01:01:00,0.0,,,6.871,16:09:14,2020-11-28,2020-11-23,15.6302,0.0,01:01:00,,15.37
Mount Field,2020-11-27T10:33:36Z,Ride,23772.4,3600,01:00:00,0.0,,,6.603,10:33:36,2020-11-27,2020-11-23,14.7746,0.0,01:00:00,,14.77
Tallac,2020-11-24T08:52:27Z,Ride,23411.7,3660,01:01:00,0.0,,,6.397,08:52:27,2020-11-24,2020-11-23,14.5505,0.0,01:01:00,,14.31
